"scientificname";"longitude";"latitude";"collectioncode";"catalognumber";"identifiedby";"country";"stateprovince";"county";"locality";"daycollected";"monthcollected";"yearcollected";"collector";"collectornumber";"notes";"source"
"Cavanillesia arborea";-39.528611;-15.158056;"CEPEC";"81830";"A. M. Amorim";"Brasil";"Bahia";"JUSSARÕ";"Rod. Jussari/Palmira. Entrada ca. 7,5Km de Jussari. RPPN Serra do Teimoso.";NA;NA;NA;"A. M. Amorim";"2467";"Ambiente: Mata MesÛfila. Habito: ¡rvore maior que 20m e menor que 50m";"splink"
"Cavanillesia umbellata";-40.443889;-18.776944;"CEPEC";"125209";"J. G. de C.-Sobrinho";"Brasil";"Espirito Santo";"NOVA VEN…CIA";"¡rea de ProteÁ„o Ambiental da Pedra do Elefante. Trilha principal na Mata do Fuxico.";NA;NA;NA;"A. M. Amorim";"7560";"Ambiente: Mata Estacional SemidecÌdua. DecÌdua. Habito: ¡rvore, ca. 18m.";"splink"
"Cavanillesia arborea";0;0;"HMC";"1969";"Santos R.M.";"Brasil";"Minas Gerais";"Janu·ria";"APA do Rio Pandeiros";16;8;2009;"Menino, G.C.O.; Braga, L.L.; Coutinho,C.A.; Oliveira, M.H.; Silva, W.A.;";"";"Ilha 5";"splink"
"Cavanillesia arborea";0;0;"HMC";"3585";"";"Brasil";"Minas Gerais";"januaria";"";NA;NA;NA;"Estagiarios LEPV";"";"pandeiros mata seca";"splink"
"Cavanillesia arborea 10";0;0;"HMC";"569";"Santos R.M.";"Brasil";"Minas Gerais";"Manga";"Parque Estadual da Mata Seca";10;2;2010;"Luz, G.R.; Coutinho, E.S.; Dantas, I.M.; Mota, G.S.; Mota, N.M.; Oliveira, M.H.; Rodrigues, P.L.; Silva, D.L.; Souza, M.L.; Souza, S.R.; Veloso, C.V.R.A.;";"76";"";"splink"
"Cavanillesia arborea";0;0;"CEN";"23207";"";"Brasil";"GO";"CAMPOS BELOS";"Estrada de terra Campos Belos - DivinÛpolis de Goi·s; a 20 km do entroncamento com a GO-118.";NA;NA;NA;"Taciana Barbosa Cavalcanti";"713";"8 m altura.";"splink"
"Cavanillesia arborea";-46.583333;-13.916666;"CEN";"25654";"B. A. S. Pereira";"Brasil";"GO";"GUARANI DE GOIAS";"Floresta decÌdua no km 16 da estrada Posse / Guarani de Goi·s.";NA;NA;NA;"Benedito AlÌsio da Silva Pereira";"2819";"DoaÁ„o da FundaÁ„o Instituto Brasileiro de Geografia e EstatÌstica. Herb·rio da Reserva EcolÛgica do IBGE.";"splink"
"Cavanillesia arborea";-46.723888;-14.539166;"CEN";"56282";"";"Brasil";"GO";"ALVORADA DO NORTE";"Fazenda It˙ (Sr. Felipe). Ponto 3.";NA;NA;NA;"Anderson C·ssio Sevilha";"3084";"Tubo da corola vin·ceo, estames brancos. Sobre afloramento calc·rio.";"splink"
"Cavanillesia arborea";-46.7725;-13.61556;"CEN";"56782";"A. C. Servilha";"Brasil";"GO";"SAO DOMINGOS";"Fazenda Flor do Ermo. Prop. JosÈ Pereira.";NA;NA;NA;"Anderson C·ssio Sevilha";"1823";"Casca lisa com estrias rugosas de cor cinza. Casca viva verde por fora, amarela por dentro. Flores brancas quando novas e alaranjadas quando velhas.";"splink"
"Cavanillesia arborea";0;0;"VIC";"31454";"Valente, G.E.";"Brasil";"Minas Gerais";"ViÁosa";"Campus da UFV, Horto.";22;8;2007;"Valente, G.E.; Costa, C.A. da";"1976";"¡rvore com cerca de 12 metros de altura. Dia 22/08/2007 totalmente desprovida de folhas. InflorescÍncia concentrada no ·pice dos ramos com flores de c·lice ferruginoso, corola branca, estilete branco com base rosada. Dia 15/10/2007, co";"splink"
"Cavanillesia umbellata";0;0;"MAC";"29514";"R.A.Costa";"Brasil";"Rio Grande do Norte";"S„o JosÈ de Mipib˙";"Tropical Eco Resort.";22;10;2006;"R.A.Costa";"34";"¡rvore. Flores amarelas. Frutos verdes.HABITAT:Borda da Mata.;";"splink"
"Cavanillesia arborea";-39.5286111;-15.1580556;"MOBOT_BR";"100658377";"J. Kallunki";"Brazil";"Bahia";"Jussari";"Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso. Mata MesÛfila.";13;8;1998;"AndrÈ M. Amorim|Jomar G. Jardim|L.M. Berbert|J. Lima Paix„o";"Amorim 2467";"";"splink"
"Cavanillesia arborea";0;0;"NMNH_BOTANY_BR";"2206906";"";"Brazil";"Goi√°s";"Flores de Goias";"Alvorada do Norte.";9;9;1994;"B. A. S. Pereira";"2615";"";"splink"
"Cavanillesia arborea";0;0;"IPA";"56095";"Bocage, A.";"Brasil";"Pernambuco";"Recife";"Dois Irm„os, PraÁa de Dois Irm„os.";NA;3;1997;"Alves, J.L.H.";"IPA-56095";"";"splink"
"Cavanillesia arborea";0;0;"UB";"21006";"Pereira, BAS";"Brasil";"Goi·s";"Guarani de Goi·s";"";NA;NA;1996;"Pereira, BAS";"3121";".";"splink"
"Cavanillesia arborea";0;0;"CVRD";"10544";"Folli, D. A.";"BRASIL";"MG";"ITUETA";"";7;11;2007;"Folli, D.A.";"5762";"<ll>dwc_commonname:</ll> Barriguda";"splink"
"Cavanillesia arborea";-41.284297;-19.441252;"CVRD";"12533";"Folli, D. A.";"BRASIL";"MG";"ITUETA";"";3;9;2009;"Luz, A.A. da";"508";"<ll>dwc_commonname:</ll> Barriguda";"splink"
"Cavanillesia arborea";-40.331256;-19.825304;"CVRD";"13900";"Folli, D. A.";"BRASIL";"ES";"ARACRUZ";"";19;9;2012;"Folli, D.A.";"6914";"<ll>dwc_commonname:</ll> Barriguda";"splink"
"Cavanillesia arborea";0;0;"CVRD";"14487";"Folli, D. A";"BRASIL";"ES";"LINHARES";"";13;8;2013;"Folli, D.A.";"7103";"Mata de aluvial na cabruca cacau. <ll>dwc_commonname:</ll> Barriguda";"splink"
"Cavanillesia arborea";0;0;"CVRD";"9823";"Folli, D. A.";"BRASIL";"ES";"LINHARES";"";1;11;2006;"Folli, D.A.";"5395";"Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda";"splink"
"Cavanillesia arborea";-43.915972;-19.891611;"BHCB";"130224";"";"Brasil";"Minas Gerais";"Belo Horizonte";"Museu de HistÛria Natural e Jardim Bot‚nico UFMG, Coletada na ·rea das plantas medicinais. ¡rea 7.";28;9;2007;"Felix, DF; Massensini J˙nior, A";"268";"ArbÛrea de 20 a 25 metros de altura. Fruto s‚mara penta-alada de cor beje escura.; DESC: ArbÛrea de 20 a 25 metros de altura. Fruto s‚mara penta-alada de cor beje escura.";"splink"
"Cavanillesia arborea";-44.241389;-15.123306;"BHCB";"53221";"";"Brasil";"Minas Gerais";"Itacarambi";"Rio PeruaÁu.";NA;NA;NA;"Costa, LV; Amado, JC";"333";"";"splink"
"Cavanillesia arborea";0;0;"BHCB";"58301";"";"Brasil";"Minas Gerais";"Governador Valadares";"Campo de Sementes";28;10;1942;"Mendes Magalh„es";"2369";"";"splink"
"Cavanillesia umbellata";-44.666667;-14.381389;"ALCB";"80074";"Guedes, ML";"Brasil";"Bahia";"Cocos";"Oeste, Faz. de Joel Gonzaga";18;7;2007;"Valad„o, R. de M.; Guedes, ML";"606";"de ca 15 m de altura. InflorescÍncia c·lice com tomentos ferrugÌneos, botıes rÛseos, pÈtalas e estames alvos. Frutos imaturos jovens verdes.";"splink"
"Cavanillesia umbellata";-41.577778;-12.350278;"ALCB";"82626";"Guedes, ML; Prates, ARS";"Brasil";"Bahia";"Iraquara";"Chapada Diamantina, Lagoa de Santa Rita";7;2;2008;"Ven‚ncio, AF; Esteves, F";"25";"de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivÌduo jovem. Folhas simples. Material estÈril.; Floresta Estacional DecÌdua, Solo Raso calc·rio.";"splink"
"Cavanillesia umbellata";-41.577778;-12.350278;"ALCB";"82626";"Guedes, ML; Prates, ARS";"Brasil";"Bahia";"Iraquara";"Chapada Diamantina, Lagoa de Santa Rita";7;2;2008;"Ven‚ncio, AF; Esteves, F";"25";"de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivÌduo jovem. Folhas simples. Material estÈril.; Floresta Estacional DecÌdua, Solo Raso calc·rio.";"splink"
"Cavanillesia umbellata";-38.966667;-12.266667;"ALCB";NA;"";"Brasil";"Bahia";"Feira de Santana";"ParaguaÁu, PrÛximo a cidade de Feira de Santana. Fazenda Havana";6;12;1998;"Guedes, ML; Velozo, ES";"6236";"19 m. Sem folhas, totalmente frutificada. Ocasional.; com pastagem.";"splink"
"Cavanillesia arborea";-39.5286;-15.1581;"NYBG_BR";"1806803";"J. A. Kallunki";"Brasil";"Bahia";"Jussari";"Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Fazenda Teimosos. RPPN Serra do Teimoso";13;8;1998;"A. M. Amorim";"2467";"<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219379\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>";"splink"
"Cavanillesia arborea";-40.5211;-12.4172;"NYBG_BR";"1182814";"";"Brasil";"Bahia";"Itaberaba";"ARIE Serra do OrobÛ, Fazenda Le„o dos Brejos.";18;1;2008;"D. B. O. S. Cardoso";"2295";"<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409012\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>";"splink"
"Cavanillesia arborea";-39.4953;-15.1917;"NYBG_BR";"402427";"J. A. Kallunki";"Brasil";"Bahia";"Jussari";"Itabuna, JuÁari.";24;7;1967;"R. S. Pinheiro";"135";"<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150137\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>";"splink"
"Cavanillesia arborea";-39.5339;-15.9508;"NYBG_BR";"402428";"J. A. Kallunki";"Brasil";"Bahia";"Itapebi";"Faz. Ventania estrada velha ao rio Jequitinonha";17;8;1971;"T. S. dos Santos";"1856";"<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150138\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>";"splink"
"Cavanillesia arborea";-46.58;-13.92;"NYBG_BR";"778774";"B. A. S. Pereira";"Brasil";"Goi·s";"Guarani de Goi·s";"No. km 16 da estrada Posse/Guarani de Goi·s.";13;8;1995;"B. A. S. Pereira";"2819";"<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798383\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>";"splink"
"Cavanillesia arborea";-46.8675;-13.744167;"HEPH";"32252";"";"Brasil";"Goi·s";"Nova Roma";"Entrada de Nova Roma";25;8;2016;"Jesus, FPR de";"412";"Muito frequente; ¡rvore 15m; flor creme; fruto verde, fica marrom quando maduro; Campo rupestre; solo rochoso";"splink"
"Cavanillesia umbellata";0;0;"HEPH";"28035";"Paiva, VF; Oliveira, MS";"Brasil";"Goi·s";"Nova Roma";"";18;8;2011;"Jesus, FPR de";"349";"¡rvore; frutos jovens de cor verde; Fruto Imaturos verdes; Beira de estrada; Relevo Inclinado";"splink"
"Cavanillesia umbellata";0;0;"HEPH";"28149";"Paiva, VF; Oliveira, MS";"Brasil";"Goi·s";"Nova Roma";"";24;10;2011;"Jesus, FPR de";"351";"Pl‚ntula de mais ou menos 20cm; Fruto Imaturos verdes;; Beira de estr.interna da Reserva(Borda de cerrado; Relevo Declive";"splink"
"Cavanillesia arborea";0;0;"SPF";"185119";"Valente, GE";"Brasil";"Minas Gerais";"ViÁosa";"";22;8;2007;"Valente, GE";"1976";"coleta: 22/8/2007 (flor); 15/10/2007 (fruto) e 30/11/2007 (folha).";"splink"
"Cavanillesia arborea";-44.32;-13.586111;"HUEFS";"118291";"R.M.Santos";"Brasil";"Bahia";"Coribe";"Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'·gua, a 24,4 Km S de S„o FÈlix do Coribe na estrada para Coribe.";11;4;2007;"Queiroz, L.P.de";"12794";"Floresta estacional.";"splink"
"Cavanillesia arborea";-42.247222;-13.296389;"HUEFS";"119342";"R.M.Santos";"Brasil";"Bahia";"Paramirim";"";29;4;2007;"ConceiÁ„o, A.A.";"1975";"Caatinga.";"splink"
"Cavanillesia arborea";-39.183889;-12.161667;"HUEFS";"120068";"";"Brasil";"Bahia";"Anguera";"Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do Feij„o sentido Ipir·.";22;5;2007;"Cardoso, D.";"1981";"Floresta estacional semidecÌdua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra.";"splink"
"Cavanillesia arborea";-42.225556;-13.290833;"HUEFS";"121638";"";"Brasil";"Bahia";"Caturama";"Caieiras.";5;7;2007;"ConceiÁ„o, A.A.";"2393";"Caatinga arbÛrea.";"splink"
"Cavanillesia arborea";0;0;"HUEFS";"122632";"";"Brasil";"Bahia";"Santa B·rbara";"";2;7;2007;"Santos, R.M.";"1695";"TransiÁ„o caatinga - Floresta";"splink"
"Cavanillesia arborea";-44.968889;-12.376944;"HUEFS";"122673";"";"Brasil";"Bahia";"S„o DesidÈrio";"BR 135.";2;7;2007;"Santos, R.M.";"1736";"Caatinga arbÛrea e afloramento de calc·rio.";"splink"
"Cavanillesia arborea";-44.968889;-12.376944;"HUEFS";"122710";"";"Brasil";"Bahia";"S„o DesidÈrio";"BR 135.";2;7;2007;"Santos, R.M.";"1773";"Caatinga arbÛrea e afloramento de calc·rio.";"splink"
"Cavanillesia arborea";-44.666667;-14.381389;"HUEFS";"126672";"";"Brasil";"Bahia";"";"Faz. de Joel Gonzaga.";18;7;2007;"Valad„o, R.de M.";"606";"Mata decÌdua, antropizada.";"splink"
"Cavanillesia arborea";-44.548611;-14.274444;"HUEFS";"128853";"";"Brasil";"Bahia";"";"Faz. S„o Domingos.";22;9;2007;"Guedes, M.L.S.";"13601";"Mata de Galeria.";"splink"
"Cavanillesia arborea";-40.521111;-12.417222;"HUEFS";"132053";"";"Brasil";"Bahia";"Itaberaba";"ARIE Serra do OrobÛ, Fazenda Le„o dos Brejos.";18;1;2008;"Cardoso, D.";"2295";"Fragmento de floresta estacional.";"splink"
"Cavanillesia arborea";-46.7725;-13.615556;"HUEFS";"176785";"";"Brasil";"Goi·s";"S„o Domingos";"Fazenda Flor do Ermo.Prop. JosÈ Pereira.,";8;8;1999;"Sevilha, A.C.";"1823";"Mata decÌdua.";"splink"
"Cavanillesia arborea";-46.723889;-14.539167;"HUEFS";"176843";"";"Brasil";"Goi·s";"Alvorada do Norte";"Fazenda It˙, (Sr. Felipe). Ponto 3.";25;8;2003;"Sevilha, A.C.";"3084";"Cerrado (Floresta Estacional Decidual).";"splink"
"Cavanillesia arborea";0;0;"HUEFS";"24143";"";"Brasil";"Goi·s";"Campos Belos";"";16;8;1990;"Cavalcanti, T.B.";"713";"";"splink"
"Cavanillesia arborea";-39.183333;-12.166667;"HUEFS";"6735";"";"Brasil";"Bahia";"Feira de Santana";"";13;11;1986;"Queiroz, L.P.de";"1035";"";"splink"
"Cavanillesia arborea";-44.178889;-13.421389;"HUEFS";"72759";"J.G.de Carvalho-Sobrinho";"Brasil";"Bahia";"S„o FÈlix do Coribe";"2 km na estrada para Lagoinha.";17;7;2003;"Leite, K.R.B";"301";"¡rea de transiÁ„o cerrado-caatinga";"splink"
"Cavanillesia arborea";-44.953333;-12.378889;"HUEFS";"94359";"R.M.Santos";"Brasil";"Bahia";"S„o DesidÈrio";"BR 135, em direÁ„o ‡ Inha˙mas.";6;4;2005;"Carvalho-Sobrinho, J.G.de";"475";"Mata semidecidual (cerrado) com Cavanilesia, Pseudobombax.";"splink"
"Cavanillesia umbellata";-41.063611;-13.929167;"HUEFS";"171799";"";"Brasil";"Bahia";"Contendas do Sincor·";"estrada de terra para a Faz. Vargem Grande, saindo da rodovia Contendas do Sincor·-AnagÈ.";11;3;2011;"Carvalho-Sobrinho, J.G.de";"2959";"Caatinga.";"splink"
"Cavanillesia umbellata";-41.535278;-14.162222;"HUEFS";"171808";"";"Brasil";"Bahia";"Brumado";"estrada para Sussuarana, ca. 15km do entroncamento.";13;3;2011;"Carvalho-Sobrinho, J.G.de";"2968";"Caatinga.";"splink"
"Cavanillesia umbellata";0;0;"HUEFS";"171827";"";"Brasil";"Bahia";"Santana";"localidade de Porto Novo, 8km da vila em direÁ„o a Santana.";15;3;2011;"Carvalho-Sobrinho, J.G.de";"2987";"Caatinga sobre afloramentos calc·rios.";"splink"
"Cavanillesia umbellata";-41.168333;-14.6375;"HUEFS";"175720";"";"Brasil";"Bahia";"AnagÈ";"estrada para a barragem.";16;7;2011;"Carvalho-Sobrinho, J.G.de";"3178";"Caatinga arbÛrea.";"splink"
"Cavanillesia umbellata";-42.0725;-22.76;"HUEFS";"176071";"";"Brasil";"Rio de Janeiro";"S„o Pedro da Aldeia";"rodovia para Cabo Frio.";4;8;2011;"Carvalho-Sobrinho, J.G.de";"3199";"Fragmento de mata estacional na beira da estrada, com Cavanillesia, Ceiba e muitas Bignoniaceae lianescentes";"splink"
"Cavanillesia umbellata";-39.046944;-12.221389;"HUEFS";"195680";"";"Brasil";"Bahia";"Feira de Santana";"Fazenda Cruzeiro do MocÛ.";13;5;2013;"Queiroz, A.S.";"45";"";"splink"
"Cavanillesia arborea";0;0;"UEC";"70238";"Pereira, B.A.S.";"Brazil";"Goi·s";"Flores de Goi·s";"Testemunha de mata existente entre a cidade nova e a cidade velha. Mata decÌdua situada no Km 32 da estrada de terra.. Alvorada do Norte.";9;9;1994;"Pereira, B.A.S.";"2615";"¡rvore com cerca de 15 m de altura com tronco em forma de t˙nel. Casca muito espessa. Madeira rica em parÍnquima. Flores brancas.";"splink"
"Cavanillesia arborea";0;0;"UEC";"73105";"";"Brazil";"Bahia";"Bom Jesus da Lapa";"Estrada para Ibotirama. Caatinga.";19;8;1994;"¡rbocz, G.F.";"671";"FrutÌfero. ¡rvore de aproximadamente 25 - 30 m de altura. Fruto rosa. Estimativa de frutificaÁ„o: agosto a outubro.";"splink"
"Cavanillesia arborea";0;0;"UEC";"79338";"";"Brazil";"Minas Gerais";"Janu·ria";"Fazenda Santa CecÌlia. Mata seca.";17;8;1994;"¡rbocz, G.F.";"659";"Material coletado: vegetativo. FlorÌfero. ¡rvore de aproximadamente 25 - 30 m de altura, 1,0 m DAP. Tronco com desenhos em relevo. Sem folhas, apenas flores. Flores rosas. Estimativa de florescimento: julho e agosto.";"splink"
"Cavanillesia arborea";-40.678056;-19.814167;"MBML-HERBARIO";"1233";"";"Brasil";"EspÌrito Santo";"Santa Teresa";"S„o Jo„o de PetrÛpolis";21;11;1953;"G. Dalcolmo";"0";"Nome vulgar: barriguda.";"splink"
"Cavanillesia arborea";-40.431667;-20.093889;"MBML-HERBARIO";"27156";"V. Demuner & L.F.S. Magnago, 14-set-06";"Brasil";"EspÌrito Santo";"Santa Leopoldina";"Morro Agudo, Prop.: Dona Maria";14;9;2006;"V. Demuner";"2884";"¡rvore 15m, fuste 9m, Dap 60cm, frutos marrom (barriguda). Interior de mata.";"splink"
"Cavanillesia arborea";-40.734722;-18.906944;"MBML-HERBARIO";"28319";"V. Demuner & L.F.S. Magnago, 17-out-06";"Brasil";"EspÌrito Santo";"¡guia Branca";"16 de Abril";17;10;2006;"V. Demuner";"2905";"¡rvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada.";"splink"
"Cavanillesia arborea";-40.43;-20.095556;"MBML-HERBARIO";"31618";"V. Demuner 30/08/2007";"Brasil";"EspÌrito Santo";"Santa Leopoldina";"Colina Verde, Morro do Agudo, D. Maria";30;8;2007;"R.R. Vervloet";"3370";"¡rvore 12m, frutos imaturos de cor verde avermelhados. Ambiente rupestre.";"splink"
"Cavanillesia umbellata";-40.443889;-18.776944;"MBML-HERBARIO";"35647";"J.G. Carvalho Sobrinho/IX-2016";"Brasil";"EspÌrito Santo";"Nova VenÈcia";"¡rea de ProteÁ„o Ambiental da Pedra do Elefante";18;7;2008;"A. M. Amorim";"7560";"";"splink"
"Cavanillesia arborea";-44.0919;-15.1022;"BCTW";"19506";"";"Brasil";"Minas Gerais";"Itacarambi";"";NA;NA;NA;"";"";"enviado por Harri em 11/1994";"splink.mun"
"Cavanillesia arborea";-38.9558;-12.6183;"BAH";"3499";"Scardino, Noblick, Paranhos, Guedes, C. Queiroz, Paganucci, Nascimento, N. Suely, Quaglia.";"Brasil";"Bahia";"Cachoeira";"EstaÁ„o da Mata (Bananeiras).";NA;10;1980;"Go. Pedra do Cavalo";"801";"¡rvore de 15-20 m de altura e com tronco abaulado, flores e botıes vermelho-alaranjados.";"splink.mun"
"Cavanillesia umbellata";-43.2206;-12.1853;"HPL";"4291";"V.C. Souza";"Brasil";"BA";"Ibotirama";"Coletada na estrada para Barreiras.";18;8;1994;"H. Lorenzi";"1601";"";"splink.mun"
"Cavanillesia umbellata";-44.3617;-15.4881;"HPL";"4292";"V.C. Souza";"Brasil";"MG";"Janu·ria";"Coletada na fazenda Santa cecÌlia de Sebasti„o Mentans.";18;8;1994;"H. Lorenzi";"1649";"";"splink.mun"
"Cavanillesia arborea";-39.4953;-15.1914;"CEPEC";"3067";"J. A. Kallunki";"Brasil";"Bahia";"JUSSARÕ";"";24;7;1967;"R. S. Pinheiro";"135";"Ambiente: Mata Higrofila. Habito: ¡rvore maior que 20m e menor que 50m";"splink.mun"
"Cavanillesia arborea";-39.5339;-15.9508;"CEPEC";"7099";"T. S. dos Santos";"Brasil";"Bahia";"ITAPEBÕ";"Faz. Ventania Estr. velha ao Rio Jequitinhonha.";17;8;1971;"T. S. dos Santos";"1856";"Ambiente: Mata Higrofila. Habito: ¡rvore maior que 5m e menor 20m";"splink.mun"
"Cavanillesia arborea";-38.9667;-12.2667;"CEPEC";"81031";"M. L. Guedes";"Brasil";"Bahia";"feira de santana";"prox. a cidade. Faz. Havana.";NA;NA;NA;"M. L. Guedes";"6236";"Ambiente: Area de transiÁao c/ pastagem. Habito: ¡rvore maior que 5m e menor 20m";"splink.mun"
"Cavanillesia arborea";-44.3617;-15.4881;"HMC";"1969";"Santos R.M.";"Brasil";"Minas Gerais";"Janu·ria";"APA do Rio Pandeiros";16;8;2009;"Menino, G.C.O.; Braga, L.L.; Coutinho,C.A.; Oliveira, M.H.; Silva, W.A.;";"";"Ilha 5";"splink.mun"
"Cavanillesia arborea";-44.3617;-15.4881;"HMC";"3585";"";"Brasil";"Minas Gerais";"januaria";"";NA;NA;NA;"Estagiarios LEPV";"";"pandeiros mata seca";"splink.mun"
"Cavanillesia arborea 10";-43.9322;-14.7558;"HMC";"569";"Santos R.M.";"Brasil";"Minas Gerais";"Manga";"Parque Estadual da Mata Seca";10;2;2010;"Luz, G.R.; Coutinho, E.S.; Dantas, I.M.; Mota, G.S.; Mota, N.M.; Oliveira, M.H.; Rodrigues, P.L.; Silva, D.L.; Souza, M.L.; Souza, S.R.; Veloso, C.V.R.A.;";"76";"";"splink.mun"
"Cavanillesia arborea";-46.7717;-13.0367;"CEN";"23207";"";"Brasil";"GO";"CAMPOS BELOS";"Estrada de terra Campos Belos - DivinÛpolis de Goi·s; a 20 km do entroncamento com a GO-118.";NA;NA;NA;"Taciana Barbosa Cavalcanti";"713";"8 m altura.";"splink.mun"
"Cavanillesia arborea";-42.8819;-20.7539;"VIC";"31454";"Valente, G.E.";"Brasil";"Minas Gerais";"ViÁosa";"Campus da UFV, Horto.";22;8;2007;"Valente, G.E.; Costa, C.A. da";"1976";"¡rvore com cerca de 12 metros de altura. Dia 22/08/2007 totalmente desprovida de folhas. InflorescÍncia concentrada no ·pice dos ramos com flores de c·lice ferruginoso, corola branca, estilete branco com base rosada. Dia 15/10/2007, co";"splink.mun"
"Cavanillesia umbellata";-35.2378;-6.07472;"MAC";"29514";"R.A.Costa";"Brasil";"Rio Grande do Norte";"S„o JosÈ de Mipib˙";"Tropical Eco Resort.";22;10;2006;"R.A.Costa";"34";"¡rvore. Flores amarelas. Frutos verdes.HABITAT:Borda da Mata.;";"splink.mun"
"Cavanillesia arborea";-47.0503;-14.4486;"NMNH_BOTANY_BR";"2206906";"";"Brazil";"Goi√°s";"Flores de Goias";"Alvorada do Norte.";9;9;1994;"B. A. S. Pereira";"2615";"";"splink.mun"
"Cavanillesia arborea";-34.8811;-8.05389;"IPA";"56095";"Bocage, A.";"Brasil";"Pernambuco";"Recife";"Dois Irm„os, PraÁa de Dois Irm„os.";NA;3;1997;"Alves, J.L.H.";"IPA-56095";"";"splink.mun"
